ts,price,volume,side
1763510032.449,3118.26,0.13,B
1763510032.449,3118.26,0.01,B
1763510032.449,3118.26,0.01,B
1763510032.449,3118.26,0.01,B
1763510032.449,3118.26,0.01,B
1763510030.358,3118.25,0.02,S
1763510029.635,3118.22,0.01,B
1763510029.635,3118.22,0.01,B
1763510029.617,3118.2,0.02,B
1763510029.617,3118.19,0.02,B
1763510029.617,3118.14,0.01,B
1763510029.617,3118.14,0.01,B
1763510029.609,3118.12,0.01,B
1763510029.609,3118.12,0.01,B
1763510029.253,3118.11,0.04,B
1763510029.253,3118.11,0.01,B
1763510029.253,3118.11,0.01,B
1763510029.253,3118.08,0.01,B
1763510029.253,3118.08,0.01,B
1763510029.253,3118.07,0.01,B
1763510029.253,3118.05,0.01,B
1763510029.253,3118.05,0.01,B
1763510029.253,3118.04,0.01,B
1763510029.253,3118.03,0.02,B
1763510029.253,3118.01,0.03,B
1763510029.253,3118.0,0.02,B
1763510029.253,3118.0,0.14,B
1763510029.253,3118.0,0.01,B
1763510029.253,3118.0,0.01,B
1763510029.253,3118.0,0.94,B
1763510027.48,3118.0,0.06,B
1763510027.48,3118.0,0.07,B
1763510027.48,3118.0,0.02,B
1763510022.617,3117.94,0.01,B
1763510022.617,3117.94,0.01,B
1763510022.617,3117.94,0.01,B
1763510022.617,3117.94,0.01,B
1763510022.597,3117.9,0.01,B
1763510022.597,3117.87,0.01,B
1763510022.597,3117.85,0.01,B
1763510022.597,3117.83,0.01,B
1763510022.597,3117.83,0.01,B
1763510022.597,3117.81,0.1,B
1763510022.597,3117.81,0.01,B
1763510022.597,3117.8,0.01,B
1763510022.597,3117.79,0.15,B
1763510022.597,3117.75,0.01,B
1763510022.589,3117.74,1.23,S
1763510022.557,3117.7,0.01,B
1763510022.557,3117.66,0.01,B
1763510022.557,3117.66,0.01,B
1763510022.557,3117.64,0.01,B
1763510022.557,3117.62,0.01,B
1763510022.557,3117.62,0.01,B
1763510022.557,3117.6,0.01,B
1763510022.557,3117.6,0.01,B
1763510022.557,3117.59,0.14,B
1763510022.557,3117.59,0.01,B
1763510022.358,3117.57,0.02,B
1763510022.358,3117.54,0.02,B
1763510022.358,3117.52,0.01,B
1763510022.358,3117.52,0.01,B
1763510022.358,3117.5,0.06,B
1763510022.353,3117.46,0.01,B
1763510022.353,3117.46,0.01,B
1763510022.353,3117.44,0.02,B
1763510022.353,3117.41,0.02,B
1763510022.353,3117.41,0.02,B
1763510022.353,3117.41,0.27,B
1763510022.353,3117.38,0.01,B
1763510022.353,3117.38,0.01,B
1763510022.353,3117.38,0.64,B
1763510022.353,3117.38,0.09,B
1763510022.353,3117.38,0.01,B
1763510022.353,3117.38,0.01,B
1763510022.353,3117.38,0.04,B
1763510020.392,3117.38,0.12,B
1763510018.986,3117.37,0.6,S
1763510018.986,3117.37,0.26,S
1763510018.927,3117.38,0.03,B
1763510018.481,3117.38,0.53,B
1763510018.481,3117.38,0.09,B
1763510018.481,3117.38,0.22,B
1763510018.481,3117.38,0.1,B
1763510018.481,3117.38,0.01,B
1763510018.481,3117.38,0.01,B
1763510018.481,3117.38,0.01,B
1763510018.481,3117.38,0.01,B
1763510017.209,3117.37,0.01,B
1763510017.209,3117.37,0.01,B
1763510017.198,3117.34,0.01,B
1763510017.198,3117.34,0.01,B
1763510017.184,3117.3,0.01,B
1763510017.184,3117.29,0.01,B
1763510017.184,3117.28,0.01,B
1763510017.184,3117.28,0.01,B
1763510017.184,3117.26,0.02,B
1763510017.184,3117.24,0.01,B
1763510017.184,3117.23,0.02,B
1763510017.184,3117.2,0.01,B
1763510017.184,3117.2,0.1,B
1763510017.184,3117.2,0.13,B
1763510017.184,3117.2,0.01,B
1763510017.184,3117.2,0.01,B
1763510015.381,3117.2,0.26,B
1763510012.971,3117.17,0.14,B
1763510012.971,3117.17,0.05,B
1763510012.971,3117.15,0.01,B
1763510012.971,3117.12,0.01,B
1763510012.971,3117.11,0.01,B
1763510012.971,3117.11,0.01,B
1763510012.971,3117.11,0.01,B
1763510012.971,3117.1,0.01,B
1763510012.971,3117.09,0.01,B
1763510012.971,3117.04,0.01,B
1763510012.957,3117.01,0.02,B
1763510012.957,3117.0,0.01,B
1763510012.957,3116.99,0.01,B
1763510012.957,3116.98,0.02,B
1763510012.957,3116.96,0.04,B
1763510012.957,3116.96,0.01,B
1763510012.957,3116.95,0.01,B
1763510012.957,3116.95,0.01,B
1763510012.957,3116.95,0.01,B
1763510012.956,3116.92,0.02,B
1763510012.956,3116.87,0.01,B
1763510012.954,3116.82,0.01,B
1763510012.954,3116.8,0.1,B
1763510012.954,3116.8,0.02,B
1763510012.954,3116.8,0.1,B
1763510012.954,3116.8,0.11,B
1763510012.954,3116.8,0.01,B
1763510009.039,3116.8,0.01,B
1763510005.815,3116.8,2.96,B
1763510005.737,3116.78,0.02,B
1763510005.737,3116.78,0.01,B
1763510005.737,3116.76,0.14,B
1763510005.737,3116.76,0.01,B
1763510005.737,3116.76,0.01,B
1763510005.737,3116.76,0.01,B
1763510005.737,3116.76,0.01,B
1763510005.21,3116.73,0.01,B
1763510005.21,3116.73,0.01,B
1763510005.197,3116.7,0.02,B
1763510005.197,3116.7,0.01,B
1763510005.197,3116.7,0.01,B
1763510005.197,3116.68,0.01,B
1763510005.197,3116.66,0.02,B
1763510005.197,3116.64,0.02,B
1763510005.193,3116.61,0.01,B
1763510005.193,3116.6,0.01,B
1763510005.193,3116.6,0.01,B
1763510005.193,3116.6,0.01,B
1763510005.181,3116.57,0.03,B
1763510005.181,3116.57,0.01,B
1763510005.181,3116.54,0.02,B
1763510005.181,3116.54,0.01,B
1763510005.181,3116.51,0.02,B
1763510005.181,3116.48,0.01,B
1763510005.181,3116.48,0.64,B
1763510005.181,3116.48,0.02,B
